"Sequence",0,1,2
"1717_Corynebacterium_diphtheriae-Corynebacteriales",-0.38577342,-0.649814,1.342429
"1121358_Corynebacterium_doosanense-Corynebacteriales",-0.073492825,-0.6222638,1.3023533
"152794_Corynebacterium_efficiens-Corynebacteriales",-0.18030751,-0.31562543,1.4199739
"2488819_Corynebacterium_endometrii-Corynebacteriales",-0.19757414,-0.31224906,1.3490415
"1050174_Corynebacterium_epidermidicanis-Corynebacteriales",-0.37931347,-0.88970554,1.6017666
"108486_Corynebacterium_falsenii-Corynebacteriales",-0.14451897,-0.42619038,1.407397
"28028_Corynebacterium_flavescens-Corynebacteriales",-0.3225323,-0.4197694,1.354563
"1230998_Corynebacterium_frankenforstense-Corynebacteriales",-0.47578633,-0.51166916,1.2340053
"134034_Corynebacterium_freneyi-Corynebacteriales",-0.16790676,-0.7138376,1.0353473
"2079234_Corynebacterium_gerontici-Corynebacteriales",-0.46346354,-0.657671,1.3800457
"187491_Corynebacterium_glaucum-Corynebacteriales",-0.24804366,-0.48934603,1.4664304
"1404244_Corynebacterium_glyciniphilum-Corynebacteriales",-0.23000753,-0.46958184,1.2151539
"225326_Corynebacterium_halotolerans-Corynebacteriales",-0.12992102,-0.6612437,1.4587283
"699041_Corynebacterium_hindlerae-Corynebacteriales",-0.34113216,-0.9305934,1.4979606
"1223514_Corynebacterium_humireducens-Corynebacteriales",-0.4015479,-0.5745219,1.5120755
"156978_Corynebacterium_imitans-Corynebacteriales",-0.3350942,-0.54153,1.3998733
"38289_Corynebacterium_jeikeium-Corynebacteriales",-0.24973285,-0.7178925,1.0703535
"2675216_Corynebacterium_kalinowskii-Corynebacteriales",-0.2994604,-0.80625546,1.4892328
"1979527_Corynebacterium_kefirresidentii-Corynebacteriales",-0.19350624,-0.41309834,1.4919829
"161879_Corynebacterium_kroppenstedtii-Corynebacteriales",-0.36766112,0.012019813,0.8709345
"35755_Corynebacterium_kutscheri-Corynebacteriales",-0.20238435,-0.77931273,1.3083732
"1231000_Corynebacterium_lactis-Corynebacteriales",-0.24957311,-0.62195945,0.9900085
"2079535_Corynebacterium_liangguodongii-Corynebacteriales",-0.3751191,-0.4768144,1.4418828
"2709394_Corynebacterium_lizhenjunii-Corynebacteriales",-0.15512359,-0.3255508,1.4105934
"2763010_Corynebacterium_lujinxingii-Corynebacteriales",-0.3248762,-0.60292685,1.4957842
"38290_Corynebacterium_macginleyi-Corynebacteriales",-0.110047996,-0.40268242,1.41487
"349751_Corynebacterium_marinum-Corynebacteriales",-0.42629504,-0.72088075,1.3547797
"575200_Corynebacterium_maris-Corynebacteriales",-0.1506871,-0.44531333,1.4445113
"43768_Corynebacterium_matruchotii-Corynebacteriales",-0.29622018,-0.3399533,1.095589
"38301_Corynebacterium_minutissimum-Corynebacteriales",-0.42776084,0.0043694377,1.1336601
"571915_Corynebacterium_mustelae-Corynebacteriales",-0.08893609,-0.42027676,1.2664232
"1032851_Corynebacterium_nuruki-Corynebacteriales",-0.5640764,-0.5527941,1.2422949
"2675219_Corynebacterium_occultum-Corynebacteriales",-0.11640322,-0.51009965,1.4820096
"1471400_Corynebacterium_pelargi-Corynebacteriales",-0.33964002,-0.54946744,1.3462635
"161895_Corynebacterium_phocae-Corynebacteriales",-0.07597166,-0.30464637,1.4491278
"43769_Corynebacterium_propinquum-Corynebacteriales",0.071009696,-0.13768053,1.5550008
"2080757_Corynebacterium_pseudopelargi-Corynebacteriales",-0.33872235,-0.54843664,1.3475246
"1719_Corynebacterium_pseudotuberculosis-Corynebacteriales",-0.5075693,-0.59969294,1.3533111
"258224_Corynebacterium_resistens-Corynebacteriales",-0.2265557,-0.55623746,1.2077587
"156976_Corynebacterium_riegelii-Corynebacteriales",-0.28875184,-0.5154035,1.4611226
"191493_Corynebacterium_sphenisci-Corynebacteriales",-0.26241362,-0.8469001,0.99987364
"1705_Corynebacterium_stationis-Corynebacteriales",-0.21382403,-0.46074104,1.526899
"2506452_Corynebacterium_suranareeae-Corynebacteriales",-0.092559874,-0.5402125,1.384303
"89154_Corynebacterium_terpenotabidum-Corynebacteriales",-0.5033153,-0.5032122,1.1715227
"136857_Corynebacterium_testudinoris-Corynebacteriales",-0.37051535,-0.6536844,1.2152206
"2883169_Corynebacterium_uberis-Corynebacteriales",-0.16883326,-0.6689043,1.4908804
"65058_Corynebacterium_ulcerans-Corynebacteriales",-0.49700403,-0.5113033,1.3044523
"43771_Corynebacterium_urealyticum-Corynebacteriales",0.0061463118,-0.88983977,1.7903744
"401472_Corynebacterium_ureicelerivorans-Corynebacteriales",-0.22178829,-0.65734434,1.5201464
"2487892_Corynebacterium_urogenitale-Corynebacteriales",-0.20830667,-0.46883142,1.4147253
"1072256_Corynebacterium_uterequi-Corynebacteriales",-0.036895573,-0.3019359,1.1811568
"38305_Corynebacterium_vitaeruminis-Corynebacteriales",-0.26059222,-0.71430373,1.4575098
"1725_Corynebacterium_xerosis-Corynebacteriales",-0.18586254,-0.80765593,1.0765207
"56438_Couchioplanes_caeruleus-Micromonosporales",0.32014138,3.2477853,0.113511324
"35754_Dactylosporangium_aurantiacum-Micromonosporales",0.51928544,3.0717032,0.0063216686
"53362_Dactylosporangium_vinaceum-Micromonosporales",0.40766943,3.1290698,0.15402865
"322596_Dermacoccus_abyssi-Micrococcales",-0.4040146,1.0737659,4.477102
"1274_Dermacoccus_nishinomiyaensis-Micrococcales",-0.3684684,1.0299563,4.5272
"546160_Dietzia_lutea-Corynebacteriales",-0.46687472,-0.9349767,0.8742676
"139021_Dietzia_psychralcaliphila-Corynebacteriales",-0.46587563,-0.92391455,0.8661139
"499555_Dietzia_timorensis-Corynebacteriales",-0.24302554,0.632701,0.3373766
"1891644_Epidermidibacterium_keratini-Sporichthyales",1.0171666,2.3677175,0.6766045
"2496867_Flaviflexus_ciconiae-Actinomycetales",-0.81674016,1.4772952,4.804131
"1282737_Flaviflexus_salsibiostraticola-Actinomycetales",-0.60747755,1.435669,4.7435765
"1861_Geodermatophilus_obscurus-Geodermatophilales",1.0769641,2.270869,0.69724846
"36821_Gordonia_amarae-Corynebacteriales",-0.603199,-1.2433031,0.4234619
"2054_Gordonia_bronchialis-Corynebacteriales",-0.65621495,-1.3940988,0.47572088
"1004901_Gordonia_iterans-Corynebacteriales",-0.4006139,-0.89642406,0.5225117
"2758710_Gordonia_jinghuaiqii-Corynebacteriales",-0.58961535,-1.3495834,0.63333607
"2665643_Gordonia_mangrovi-Corynebacteriales",-0.6432102,-1.4631512,0.45956898
"249058_Gordonia_otitidis-Corynebacteriales",-0.71770346,-1.3935821,0.5991907
"1136941_Gordonia_phthalatica-Corynebacteriales",-0.5531696,-1.0435246,0.46051717
"2831662_Gordonia_pseudoamarae-Corynebacteriales",-0.6019099,-1.2657888,0.46701837
"36822_Gordonia_rubripertincta-Corynebacteriales",-0.627301,-1.4072566,0.6151905
"2055_Gordonia_terrae-Corynebacteriales",-0.55844164,-1.363661,0.54312587
"2597659_Gordonia_zhaorongruii-Corynebacteriales",-0.61325467,-0.7836412,0.2707572
"2419771_Gryllotalpicola_protaetiae-Micrococcales",-0.83444595,3.6068113,2.737553
"639313_Hoyosella_subflava-Corynebacteriales",-0.4722327,-0.9319669,0.32382298
"860235_Kibdelosporangium_phytohabitans-Pseudonocardiales",0.03666687,0.437749,-0.16410685
"68173_Kitasatospora_albolonga-Streptomycetales",4.774209,0.6117281,2.9598505
"1894_Kitasatospora_aureofaciens-Streptomycetales",3.9740446,0.6758864,2.8061178
"43357_Kutzneria_albida-Pseudonocardiales",0.07934344,0.5690136,-0.15500426
"1276_Kytococcus_sedentarius-Micrococcales",0.46074837,3.0926623,1.9959036
"1528099_Lawsonella_clevelandensis-Corynebacteriales",-0.35242558,0.20103997,0.7749374
"150026_Leifsonia_shinshuensis-Micrococcales",-1.1711154,4.1451526,2.5046582
"1575_Leifsonia_xyli-Micrococcales",-1.1435165,4.0897303,2.3897896
"1586287_Lentzea_guizhouensis-Pseudonocardiales",0.18784308,0.50205964,-0.16120672
"2769067_Microbacterium_chengjingii-Micrococcales",-0.8634517,3.9877284,2.4838402
"1270_Micrococcus_luteus-Micrococcales",-0.47166157,2.3596673,2.9045415
"2596828_Microlunatus_elymi-Propionibacteriales",0.6304158,2.2913055,2.417309
"47853_Micromonospora_carbonacea-Micromonosporales",0.74723727,3.0466695,0.23485065
"2294034_Micromonospora_craniellae-Micromonosporales",0.72538745,3.1039512,0.22815228
"1003110_Micromonospora_maris-Micromonosporales",0.7138964,3.0995529,0.21783042
"47875_Micromonospora_sagamiensis-Micromonosporales",0.71422774,3.4433506,0.05467391
"477641_Modestobacter_marinus-Geodermatophilales",0.97228473,2.3404295,0.8264146
"339268_Mycobacterium_colombiense-Corynebacteriales",-0.8108251,-3.1502938,1.2727984
"44010_Mycobacterium_conspicuum-Corynebacteriales",-1.0298266,-2.7740843,0.93862915
"1775_Mycobacterium_cookii-Corynebacteriales",-0.6898881,-2.885046,0.9160595
"1801_Mycobacterium_diernhoferi-Corynebacteriales",-0.6281042,-1.9369552,0.68828535
"126673_Mycobacterium_doricum-Corynebacteriales",-0.7576095,-2.098689,0.44118333
"292462_Mycobacterium_florentinum-Corynebacteriales",-0.7945945,-2.919824,1.0856677
"134601_Mycobacterium_goodii-Corynebacteriales",-0.736953,-2.0842974,0.4416051
"1778_Mycobacterium_gordonae-Corynebacteriales",-0.87174976,-3.0716887,1.1814231
"1552759_Mycobacterium_grossiae-Corynebacteriales",-0.64874077,-1.6187208,0.29715133
"29311_Mycobacterium_haemophilum-Corynebacteriales",-0.89513624,-3.0043657,1.0405304
"110505_Mycobacterium_heckeshornense-Corynebacteriales",-0.6871979,-2.7872846,0.85360193
"53376_Mycobacterium_heidelbergense-Corynebacteriales",-0.8263098,-3.050458,1.0348896
"512402_Mycobacterium_heraklionense-Corynebacteriales",-0.68342125,-1.3033383,0.105299234
"152142_Mycobacterium_holsaticum-Corynebacteriales",-0.78550494,-2.1197047,0.49501824
"1767_Mycobacterium_intracellulare-Corynebacteriales",-0.8025167,-3.0898676,1.2785038
"1768_Mycobacterium_kansasii-Corynebacteriales",-0.8617693,-3.1909103,1.2249092
"1069220_Mycobacterium_koreense-Corynebacteriales",-0.70826435,-2.2541273,0.6869292
"120959_Mycobacterium_kubicae-Corynebacteriales",-0.7906021,-3.0013795,1.1850643
"169765_Mycobacterium_lacus-Corynebacteriales",-0.86423767,-3.096913,1.175919
"141349_Mycobacterium_lentiflavum-Corynebacteriales",-0.8377714,-3.017622,1.1437696
"1769_Mycobacterium_leprae-Corynebacteriales",-0.8839978,-2.87314,1.0269651
"480418_Mycobacterium_lepromatosis-Corynebacteriales",-0.9150424,-2.7191892,1.0798374
"1780_Mycobacterium_malmoense-Corynebacteriales",-0.7775916,-2.963179,0.99947166
"560555_Mycobacterium_mantenii-Corynebacteriales",-0.8115305,-3.0980723,1.2252088
"701042_Mycobacterium_marseillense-Corynebacteriales",-0.8146399,-3.0871558,1.2930919
"459858_Mycobacterium_noviomagense-Corynebacteriales",-0.8208475,-2.8194828,0.865921
"2738409_Mycobacterium_ostraviense-Corynebacteriales",-0.8967109,-3.3103695,1.3022112
"590652_Mycobacterium_paraseoulense-Corynebacteriales",-0.75606406,-3.137241,1.221254
"577492_Mycobacterium_paraterrae-Corynebacteriales",-0.73040795,-2.7721887,1.0322536
"185642_Mycobacterium_parmense-Corynebacteriales",-0.9732795,-3.1469827,1.1553649
"220927_Mycobacterium_saskatchewanense-Corynebacteriales",-0.78142023,-3.1123428,1.0765043
"386911_Mycobacterium_seoulense-Corynebacteriales",-0.70027614,-3.073898,1.2323725
"722731_Mycobacterium_shigaense-Corynebacteriales",-0.78952014,-3.190474,1.2544848
"398694_Mycobacterium_shinjukuense-Corynebacteriales",-0.8734168,-3.1194549,1.1496274
"1784_Mycobacterium_simiae-Corynebacteriales",-0.851866,-2.9600034,1.0892066
"886343_Mycobacterium_spongiae-Corynebacteriales",-0.86943436,-2.9678288,0.9717181
"470076_Mycobacterium_stomatepiae-Corynebacteriales",-0.811123,-2.9167998,1.0716588
"1719132_Mycobacterium_vicinigordonae-Corynebacteriales",-0.8962573,-3.0651393,1.1197443
"1795032_Mycobacterium_virginiense-Corynebacteriales",-0.6546538,-1.2844169,0.09985089
"1789_Mycobacterium_xenopi-Corynebacteriales",-0.70943356,-2.8898106,0.93263054
"36809_Mycobacteroides_abscessus-Corynebacteriales",-0.6012498,-1.30372,0.2843449
"83262_Mycobacteroides_immunogenum-Corynebacteriales",-0.5513859,-1.2080872,0.30403948
"1578165_Mycobacteroides_saopaulense-Corynebacteriales",-0.54243815,-1.3404303,0.364007
"1069221_Mycolicibacillus_parakoreensis-Corynebacteriales",-0.6699861,-2.2094917,0.715312
"29314_Mycolicibacter_hiberniae-Corynebacteriales",-0.62790155,-1.6918244,0.32062578
"1118379_Mycolicibacter_minnesotensis-Corynebacteriales",-0.7099849,-1.7304881,0.3545525
"1788_Mycolicibacter_terrae-Corynebacteriales",-0.6435269,-0.5559703,0.024458647
"1799_Mycolicibacterium_aichiense-Corynebacteriales",-0.6379881,-0.32453012,-0.14083767
"67081_Mycolicibacterium_alvei-Corynebacteriales",-0.72722435,-2.014335,0.34434128
"1431246_Mycolicibacterium_anyangense-Corynebacteriales",-0.7348075,-2.3535433,0.6807072
"1286181_Mycolicibacterium_arabiense-Corynebacteriales",-0.72365797,-1.7642906,0.539978
"2761578_Mycolicibacterium_baixiangningiae-Corynebacteriales",-0.6332495,-1.9605439,0.3021989
"146017_Mycolicibacterium_boenickei-Corynebacteriales",-0.75162995,-2.085588,0.40307164
"85968_Mycolicibacterium_brumae-Corynebacteriales",-0.72649455,-1.9939721,0.39754438
"1249101_Mycolicibacterium_celeriflavum-Corynebacteriales",-0.6393001,-0.35413694,-0.2656033
"1792_Mycolicibacterium_chitae-Corynebacteriales",-0.81600547,-2.1456075,0.5494256
"1800_Mycolicibacterium_chubuense-Corynebacteriales",-0.80617785,-2.100072,0.3767252
"28047_Mycolicibacterium_confluentis-Corynebacteriales",-0.6902456,-1.9904292,0.4650247
"39688_Mycolicibacterium_duvalii-Corynebacteriales",-0.7861328,-1.958081,0.44365835
"1793_Mycolicibacterium_fallax-Corynebacteriales",-0.52286637,-1.8500283,0.52954245
"1766_Mycolicibacterium_fortuitum-Corynebacteriales",-0.78582025,-2.0512187,0.3564651
"1794_Mycolicibacterium_gadium-Corynebacteriales",-0.8120799,-2.0844002,0.57619286
"1534349_Mycolicibacterium_helvum-Corynebacteriales",-0.67721426,-0.3319801,-0.028454542
"444597_Mycolicibacterium_insubricum-Corynebacteriales",-0.58925986,-1.703192,0.3981321
"758802_Mycolicibacterium_litorale-Corynebacteriales",-0.67680454,-2.0101926,0.25478864
"53462_Mycolicibacterium_mageritense-Corynebacteriales",-0.85920274,-1.9664457,0.48505878
"2736649_Mycolicibacterium_mengxianglii-Corynebacteriales",-0.58701086,-0.45531666,-0.16986752
"85693_Mycolicibacterium_monacense-Corynebacteriales",-0.7130536,-2.129815,0.4404893
"39691_Mycolicibacterium_moriokaense-Corynebacteriales",-0.7880691,-2.174287,0.6199026
"56689_Mycolicibacterium_mucogenicum-Corynebacteriales",-0.6611986,-2.0087152,0.4657259
"1795_Mycolicibacterium_neoaurum-Corynebacteriales",-0.6085577,-2.0446825,0.53948283
"39692_Mycolicibacterium_parafortuitum-Corynebacteriales",-0.74376154,-1.945054,0.27983212
"1771_Mycolicibacterium_phlei-Corynebacteriales",-0.60086346,-0.30148745,-0.1908288
"216929_Mycolicibacterium_psychrotolerans-Corynebacteriales",-0.7013422,-2.0713992,0.42678547
"36813_Mycolicibacterium_pulveris-Corynebacteriales",-0.79167295,-2.2631235,0.5386925
"36814_Mycolicibacterium_rhodesiae-Corynebacteriales",-0.7127942,-2.07796,0.5099933
"1534348_Mycolicibacterium_sarraceniae-Corynebacteriales",-0.69925666,-0.49047875,-0.11910653
"1286180_Mycolicibacterium_sediminis-Corynebacteriales",-0.7412156,-1.7555285,0.43040752
"1772_Mycolicibacterium_smegmatis-Corynebacteriales",-0.72217536,-2.0661411,0.42669797
"1810_Mycolicibacterium_vaccae-Corynebacteriales",-0.7844069,-2.155181,0.45577765
"1902245_Nakamurella_antarctica-Nakamurellales",0.54854643,1.6801958,0.07458019
"53461_Nakamurella_multipartita-Nakamurellales",0.6796675,0.53613454,0.49395442
"2811108_Natronoglycomyces_albus-Glycomycetales",0.46420783,1.5712802,0.89101887
"2811111_Natronosporangium_hydrolyticum-Micromonosporales",0.47674087,2.8431664,0.7614963
"228602_Nocardia_arthritidis-Corynebacteriales",-0.6830884,-0.039034784,-0.31167936
"1824_Nocardia_asteroides-Corynebacteriales",-0.6706457,-0.10814738,-0.17580628
"135487_Nocardia_cyriacigeorgica-Corynebacteriales",-0.7203982,-1.5109928,0.36820912
"2749991_Nocardia_gipuzkoensis-Corynebacteriales",-0.587417,-0.20002413,-0.22066545
"2755382_Nocardia_huaxiensis-Corynebacteriales",-0.64820504,0.18479925,-0.48597932
"204891_Nocardia_iowensis-Corynebacteriales",-0.60767055,-0.19831085,-0.23656464
"2213200_Nocardia_mangyaensis-Corynebacteriales",-0.57661796,-0.22113872,-0.13922334
"1823_Nocardia_otitidiscaviarum-Corynebacteriales",-0.7980825,-0.9242829,0.042812824
"455432_Nocardia_terpenica-Corynebacteriales",-0.74678135,-1.5311978,0.31930327
"480035_Nocardia_wallacei-Corynebacteriales",-0.7956377,-1.1743968,0.2670126
"209247_Nocardia_yamanashiensis-Corynebacteriales",-0.57902765,0.23487496,-0.36156702
"160826_Nocardioides_aquaticus-Propionibacteriales",-0.30723405,1.7564855,4.710638
"200618_Nocardioides_aromaticivorans-Propionibacteriales",-0.25868106,1.8189596,4.692907
"1804624_Nocardioides_baekrokdamisoli-Propionibacteriales",-0.5262158,1.013839,4.786275
"2558918_Nocardioides_cynanchi-Propionibacteriales",-0.5216366,1.9201634,4.5359488
"402297_Nocardioides_daphniae-Propionibacteriales",-0.039098084,1.58089,4.856279
"450734_Nocardioides_dokdonensis-Propionibacteriales",-0.21859562,1.5464404,4.93753
"2575440_Nocardioides_jishulii-Propionibacteriales",0.09429163,1.6124086,4.936934
"419476_Nocardioides_marinisabuli-Propionibacteriales",-0.1633563,1.5642498,4.8911333
"433659_Nocardioides_mesophilus-Propionibacteriales",-0.124350965,1.4924616,4.8254023
"2894081_Nocardioides_okcheonensis-Propionibacteriales",-0.27099907,1.5842288,4.8970194
"627624_Nocardioides_panacisoli-Propionibacteriales",-0.30531788,1.726676,4.765959
"2714938_Nocardioides_piscis-Propionibacteriales",-0.2707349,1.4344206,4.8776183
"1643322_Nocardioides_ungokensis-Propionibacteriales",-0.21734953,1.7424942,4.780739
"2500546_Nocardioides_yefusunii-Propionibacteriales",-0.14388621,1.5474594,4.774759
"53437_Nocardiopsis_alba-Streptosporangiales",1.0882345,3.2086165,0.15174198
"758803_Nocardiopsis_flavescens-Streptosporangiales",1.1178341,3.129585,0.15912461
"280236_Nocardiopsis_gilva-Streptosporangiales",1.1040198,3.1407645,0.23804569
"404386_Nonomuraea_coxensis-Streptosporangiales",1.1696728,4.781432,-1.0427699
"93944_Nonomuraea_gerenzanensis-Streptosporangiales",1.1965494,4.8153577,-1.0014119
"2594265_Ornithinimicrobium_ciconiae-Micrococcales",-0.56954956,1.1987607,4.516193
"2819238_Pengzhenrongella_sicca-Micrococcales",-0.3498025,1.9761147,3.9275072
"1076124_Phytohabitans_flavus-Micromonosporales",0.4989757,3.3764799,-0.27588224
"624315_Phytohabitans_suffuscus-Micromonosporales",0.4955901,3.3944685,-0.21396971
"2045_Pimelobacter_simplex-Propionibacteriales",-0.18865776,1.6011286,4.827949
"338584_Polymorphospora_rubra-Micromonosporales",0.68401253,3.5567656,-0.20826912
"530584_Prauserella_marina-Pseudonocardiales",0.15189177,0.3315847,-0.3589735
"2736640_Pseudonocardia_broussonetiae-Pseudonocardiales",0.21754903,0.48160735,-0.22077107
"240495_Pseudonocardia_dioxanivorans-Pseudonocardiales",0.06959224,0.5933722,-0.20416117
"1618207_Psychromicrobium_lacuslunae-Micrococcales",-0.31038284,3.1062245,2.9975224
"1646_Renibacterium_salmoninarum-Micrococcales",-0.22959197,3.0842593,3.0057144
"1829_Rhodococcus_rhodochrous-Corynebacteriales",-0.43466413,-1.4859397,0.46678877
"300028_Rhodococcus_triatomae-Corynebacteriales",-0.51755285,-1.3993483,0.58350873
"1852_Saccharomonospora_viridis-Pseudonocardiales",0.13800567,0.35871297,-0.30835938
"75294_Saccharomonospora_xinjiangensis-Pseudonocardiales",0.15709811,1.586961,-0.86494637
"1836_Saccharopolyspora_erythraea-Pseudonocardiales",0.27108818,0.6851351,-0.16178441
"455344_Saccharopolyspora_gloriosae-Pseudonocardiales",0.36184406,0.73406327,-0.19717789
"60894_Saccharopolyspora_spinosa-Pseudonocardiales",0.2704876,0.65661275,-0.16906548
"103731_Saccharothrix_espanaensis-Pseudonocardiales",0.17990601,0.43892005,-0.25667548
"103733_Saccharothrix_syringae-Pseudonocardiales",0.17254508,0.40598682,-0.27092957
"168695_Salinispora_tropica-Micromonosporales",0.81097883,2.8241763,0.45109582
"181487_Schaalia_cardiffensis-Actinomycetales",-0.5645083,1.3988588,4.69759
"131111_Schaalia_turicensis-Actinomycetales",-0.65231943,1.4744482,4.6828165
"286802_Segniliparus_rotundus-Corynebacteriales",-0.6932764,-1.2033546,0.84172535
"39122_Skermania_piniformis-Corynebacteriales",-0.43176317,-0.110167444,-0.16282725
"2820884_Spiractinospora_alimapuensis-Streptosporangiales",1.1126314,3.3260584,0.5229747
"2126346_Streptacidiphilus_bronchialis-Streptomycetales",3.7046907,1.0220029,1.9482023
"2498135_Streptomonospora_litoralis-Streptosporangiales",1.3638103,3.1754487,0.012534857
"1885_Streptomyces_actuosus-Streptomycetales",4.652859,0.5762303,2.9851594
"68570_Streptomyces_albulus-Streptomycetales",4.0963006,0.93000054,2.2597888
"285578_Streptomyces_angustmyceticus-Streptomycetales",4.165457,1.0041274,2.1997576
"67296_Streptomyces_finlayi-Streptomycetales",4.405325,0.7656795,3.3085945
"66871_Streptomyces_aureoverticillatus-Streptomycetales",4.5126567,0.7552796,3.263765
"2710756_Streptomyces_bathyalis-Streptomycetales",3.7147934,1.4440961,2.7381897
"1436133_Streptomyces_bryophytorum-Streptomycetales",4.0907784,0.80058515,2.7053719
"1969_Streptomyces_chartreusis-Streptomycetales",4.4203176,0.9118241,3.3330266
"42881_Streptomyces_chromofuscus-Streptomycetales",4.7201786,0.6009617,3.0497613
"42684_Streptomyces_collinus-Streptomycetales",4.87988,0.50475204,3.0247366
"80860_Streptomyces_cyanogenus-Streptomycetales",4.4191146,0.852136,3.3720844
"1442032_Streptomyces_dangxiongensis-Streptomycetales",4.3522897,0.94096684,3.291758
"348043_Streptomyces_davaonensis-Streptomycetales",4.5161066,0.83094805,3.3371472
"1905_Streptomyces_exfoliatus-Streptomycetales",4.5719976,0.6958122,3.285725
"1413221_Streptomyces_ferrugineus-Streptomycetales",4.4643946,0.94782305,3.446097
"1977088_Streptomyces_ficellus-Streptomycetales",4.485408,0.74307567,3.282697
"67294_Streptomyces_filamentosus-Streptomycetales",4.8694515,0.6227195,2.9322858
"1904616_Streptomyces_fodineus-Streptomycetales",4.632205,0.5524577,2.9969819
